Nivåkode,Treslag
0,Ingen treslag domnrerer
ACpl,Spisslønn (Acer platanoides)
ALgl,Svartor (Alnus glutinosus)
ALin,Gråor (Alnus incana)
BEsp,Bjørkeslekta (Betula spp.)
COav,Hassel (Corylus avellana)
FAsy,Bøk (Fagus sulvatica)
FRex,Ask (Fraxinus excelsior)
PIab,Gran (Picea abies)
POtr,Osp (Populus tremula)
PRpa,Hegg (Prunus padus)
PUsy,Furu (Pinus sylvestris)
QUsp,Eikeslekta (Quercus sp.)
SAca,Selje (Salix caprea)
SAsp,Vier (Salix-arter unntatt selje)
SOau,Rogn (Sorbus aucuparia)
TIco,Lind (Tilia cordata)
ULgl,Alm (Ulmus glabra)
XBzz,"Andre naturlig forekommende bartrær (einer, barlind)"
XLzz,Andre naturlig forekommende lauvtrær
ZBzz,"Innførte bartrær (Pineaceae, alle arter)"
ZLzz,Innførte lauvtrær
