pid,_id,majorTypeGroup_id,order,detail_id
0,F-1,F,1,major_type_F-1
1,F-2,F,2,major_type_F-2
2,F-3,F,3,major_type_F-3
3,F-4,F,4,major_type_F-4
4,F-5,F,5,major_type_F-5
5,H-1,H,1,major_type_H-1
6,H-2,H,2,major_type_H-2
7,H-3,H,3,major_type_H-3
8,H-4,H,4,major_type_H-4
9,I-1,I,1,major_type_I-1
10,I-2,I,2,major_type_I-2
11,L-1,L,1,major_type_L-1
12,L-2,L,2,major_type_L-2
13,L-3,L,3,major_type_L-3
14,L-4,L,4,major_type_L-4
15,L-5,L,5,major_type_L-5
16,L-6,L,6,major_type_L-6
17,L-7,L,7,major_type_L-7
18,L-8,L,8,major_type_L-8
19,M-1,M,1,major_type_M-1
20,M-2,M,2,major_type_M-2
21,M-3,M,3,major_type_M-3
22,M-4,M,4,major_type_M-4
23,M-5,M,5,major_type_M-5
24,M-6,M,6,major_type_M-6
25,M-7,M,7,major_type_M-7
26,M-8,M,8,major_type_M-8
27,M-9,M,9,major_type_M-9
28,M-10,M,10,major_type_M-10
29,M-11,M,11,major_type_M-11
30,M-12,M,12,major_type_M-12
31,M-13,M,13,major_type_M-13
32,M-14,M,14,major_type_M-14
33,M-15,M,15,major_type_M-15
34,T-1,T,1,major_type_T-1
35,T-2,T,2,major_type_T-2
36,T-3,T,3,major_type_T-3
37,T-4,T,4,major_type_T-4
38,T-5,T,5,major_type_T-5
39,T-6,T,6,major_type_T-6
40,T-7,T,7,major_type_T-7
41,T-8,T,8,major_type_T-8
42,T-9,T,9,major_type_T-9
43,T-10,T,10,major_type_T-10
44,T-11,T,11,major_type_T-11
45,T-12,T,12,major_type_T-12
46,T-13,T,13,major_type_T-13
47,T-14,T,14,major_type_T-14
48,T-15,T,15,major_type_T-15
49,T-16,T,16,major_type_T-16
50,T-17,T,17,major_type_T-17
51,T-18,T,18,major_type_T-18
52,T-19,T,19,major_type_T-19
53,T-20,T,20,major_type_T-20
54,T-21,T,21,major_type_T-21
55,T-22,T,22,major_type_T-22
56,T-23,T,23,major_type_T-23
57,T-24,T,24,major_type_T-24
58,T-25,T,25,major_type_T-25
59,T-26,T,26,major_type_T-26
60,T-27,T,27,major_type_T-27
61,T-28,T,28,major_type_T-28
62,T-29,T,29,major_type_T-29
63,T-30,T,30,major_type_T-30
64,T-31,T,31,major_type_T-31
65,T-32,T,32,major_type_T-32
66,T-33,T,33,major_type_T-33
67,T-34,T,34,major_type_T-34
68,T-35,T,35,major_type_T-35
69,T-36,T,36,major_type_T-36
70,T-37,T,37,major_type_T-37
71,T-38,T,38,major_type_T-38
72,T-39,T,39,major_type_T-39
73,T-40,T,40,major_type_T-40
74,T-41,T,41,major_type_T-41
75,T-42,T,42,major_type_T-42
76,T-43,T,43,major_type_T-43
77,T-44,T,44,major_type_T-44
78,T-45,T,45,major_type_T-45
79,V-1,V,1,major_type_V-1
80,V-2,V,2,major_type_V-2
81,V-3,V,3,major_type_V-3
82,V-4,V,4,major_type_V-4
83,V-5,V,5,major_type_V-5
84,V-6,V,6,major_type_V-6
85,V-7,V,7,major_type_V-7
86,V-8,V,8,major_type_V-8
87,V-9,V,9,major_type_V-9
88,V-10,V,10,major_type_V-10
89,V-11,V,11,major_type_V-11
90,V-12,V,12,major_type_V-12
91,V-13,V,13,major_type_V-13
